id,comment_count,favorite_count,score
18446842,2,,3
18449804,2,,3
18451743,2,,3
18453642,2,,3
18453679,2,,3
18454086,2,,3
18457602,2,,3
18463804,2,,3
18467455,2,,3
18470286,2,,3
18473205,2,,3
18473461,2,,3
18474080,2,,3
18478382,2,,3
18478877,2,,3
18481288,2,,3
18482526,2,,3
17938751,2,,4
18012060,2,,4
18301657,2,,4
18343406,2,,4
18423792,2,,4
18425028,2,,4
18426595,2,,4
18444281,2,,4
18453542,2,,4
18459273,2,,4
18460431,2,,4
18460748,2,,4
18462860,2,,4
18463797,2,,4
18464799,2,,4
18467098,2,,4
18468805,2,,4
18483950,2,,4
18484798,2,,4
18342255,2,,5
18359556,2,,5
18409307,2,,5
18416512,2,,5
18421743,2,,5
18423229,2,,5
18430784,2,,5
18431815,2,,5
18433431,2,,5
18442566,2,,5
18469125,2,,5
18476359,2,,5
18477185,2,,5
18028975,2,,6
18423726,2,,6
18446056,2,,6
18463119,2,,6
18479880,2,,6
17966187,2,,7
18146563,2,,7
18408273,2,,7
18439581,2,,7
18454553,2,,7
18476684,2,,7
18482872,2,,7
18283774,2,,8
18384620,2,,8
18415816,2,,8
18441171,2,,8
18452400,2,,8
18430621,2,,9
18177102,2,,10
18225121,2,,10
18475513,2,,10
18483912,2,,10
18314935,2,,11
18465824,2,,12
17968925,2,,13
18423474,2,,13
18173977,2,,14
18475127,2,,14
18479195,2,,14
18419731,2,,15
17868278,2,,19
18449135,2,,19
17996905,2,,20
18192370,2,,20
18093330,2,,21
18469958,2,,26
18483229,2,,29
18413961,2,,32
18454665,2,,44
18319515,2,,55
17855993,2,,-2
18483225,2,,-2
17998571,2,,-1
18194748,2,,-1
18223765,2,,-1
18271913,2,,-1
18403811,2,,-1
18429774,2,,-1
18438423,2,,-1
18443305,2,,-1
18445508,2,,-1
18448185,2,,-1
18457260,2,,-1
18460540,2,,-1
18467032,2,,-1
17932861,3,,0
17962558,3,,0
18021123,3,,0
18041910,3,,0
18200612,3,,0
18228060,3,,0
18239954,3,,0
18242569,3,,0
18255562,3,,0
18259570,3,,0
18274024,3,,0
18352678,3,,0
18365682,3,,0
18375388,3,,0
18386143,3,,0
18396439,3,,0
18401166,3,,0
18405639,3,,0
18408481,3,,0
18409488,3,,0
18411605,3,,0
18412719,3,,0
18413741,3,,0
18414258,3,,0
18414475,3,,0
18415362,3,,0
18418183,3,,0
18418686,3,,0
18418724,3,,0
18419449,3,,0
18420088,3,,0
18420440,3,,0
18425468,3,,0
18425550,3,,0
18425557,3,,0
18426893,3,,0
18427356,3,,0
18429275,3,,0
18431492,3,,0
18433247,3,,0
18434447,3,,0
18434634,3,,0
18435581,3,,0
18436478,3,,0
18436568,3,,0
18437137,3,,0
18437629,3,,0
18438481,3,,0
18439361,3,,0
18440335,3,,0
18440995,3,,0
18441280,3,,0
18442736,3,,0
18443338,3,,0
18443836,3,,0
18443879,3,,0
18444018,3,,0
18444484,3,,0
18446421,3,,0
18447212,3,,0
18447737,3,,0
18449511,3,,0
18450443,3,,0
18451108,3,,0
18451140,3,,0
18451922,3,,0
18451948,3,,0
18452463,3,,0
18453942,3,,0
18454557,3,,0
18455491,3,,0
18458149,3,,0
18458513,3,,0
18458567,3,,0
18458967,3,,0
18459077,3,,0
18459308,3,,0
18460645,3,,0
18461153,3,,0
18462090,3,,0
18462363,3,,0
18462733,3,,0
18463610,3,,0
18464586,3,,0
18464716,3,,0
18466270,3,,0
18466547,3,,0
18466779,3,,0
18466956,3,,0
18468963,3,,0
18469099,3,,0
18471571,3,,0
18472812,3,,0
18473136,3,,0
